Facility Name,City,State,AOR,Avg Length of Stay (days),No ICE Threat Level Population,Male Crim,Male Non-Crim,Female Crim,Female Non-Crim
ADAMS COUNTY DET CENTER,NATCHEZ,MS,NOL,52,2118,32,2105,0,0
ADELANTO ICE PROCESSING CENTER,ADELANTO,CA,LOS,22,112,169,75,2,7
ALAMANCE COUNTY DETENTION FACILITY,GRAHAM,NC,ATL,3,18,12,7,0,0
ALLEGANY COUNTY JAIL,BELMONT,NY,BUF,10,3,0,0,0,2
ANCHORAGE CORRECTIONAL COMPLEX,ANCHORAGE,AK,SEA,13,4,2,2,0,0
ALLEN PARISH PUBLIC SAFETY COMPLEX,OBERLIN,LA,NOL,67,141,51,116,0,0
BAKER COUNTY SHERIFF DEPT.,MACCLENNY,FL,MIA,35,185,141,51,23,21
SOUTH LOUISIANA ICE PROCESSING CENTER,BASILE,LA,NOL,38,748,4,5,128,719
BLUEBONNET DETENTION FACILITY,ANSON,TX,DAL,30,708,335,485,14,55
BOONE COUNTY JAIL,BURLINGTON,KY,CHI,39,93,108,37,4,1
ATLANTA US PEN,ATLANTA,GA,ATL,18,55,23,34,0,0
BERLIN FED. CORR. INST.,BERLIN,NH,BOS,36,75,23,69,0,0
BROOKLYN MDC,BROOKLYN,NY,NYC,7,3,1,3,0,0
HONOLULU FEDERAL DETENTION CENTER,HONOLULU,HI,SFR,43,17,19,11,1,4
LEAVENWORTH US PENITENTIARY,LEAVENWORTH,KS,CHI,25,22,21,12,0,0
MIAMI FEDERAL DETENTION,MIAMI,FL,MIA,33,136,98,81,0,0
FDC PHILADELPHIA,PHILADELPHIA,PA,PHI,9,38,21,25,0,0
BOURBON CO DET CENTER,PARIS,KY,CHI,4,1,0,1,0,0
BROWARD COUNTY JAIL,FT.LAUDERDALE,FL,MIA,1,1,0,1,0,0
BROOME COUNTY JAIL,BINGHAMPTON,NY,BUF,5,3,0,2,0,0
BUFFALO SERVICE PROCESSING CENTER,BATAVIA,NY,BUF,49,436,249,309,0,0
BURLEIGH COUNTY,BISMARCK,ND,SPM,11,1,1,1,0,0
BUTLER COUNTY JAIL,HAMILTON,OH,DET,25,71,23,54,1,7
MESA VERDE ICE PROCESSING CENTER,BAKERSFIELD,CA,SFR,95,35,56,10,1,5
DESERT VIEW ANNEX,ADELANTO,CA,LOS,42,371,136,263,0,0
