Fiscal Year,Source File Date,Source File,Facility Name,City,State,AOR,Type Detailed,Avg Length of Stay (days),Male Crim,Male Non-Crim,Female Crim,Female Non-Crim,Total Detained Population,Last Inspection Type,Last Inspection End Date,Last Inspection Standard,Last Final Rating
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,PICKENS COUNTY DET CTR,CARROLLTON,AL,NOL,IGSA,3,8,5,2,0,15,ORSA,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,WASHINGTON COUNTY DETENTION CENTER,FAYETTEVILLE,AR,NOL,USMS IGA,2,1,0,0,0,1,ORSA,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,"CCA, FLORENCE CORRECTIONAL CENTER",FLORENCE,AZ,PHO,USMS IGA,18,252,117,0,1,370,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,ELOY FEDERAL CONTRACT FACILITY,ELOY,AZ,PHO,DIGSA,22,59,601,30,336,1026,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,FLORENCE SERVICE PROCESSING CENTER,FLORENCE,AZ,PHO,SPC,7,32,201,0,0,233,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,FLORENCE STAGING FACILITY,FLORENCE,AZ,PHO,STAGING,2,21,91,0,2,114,,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,SAN LUIS REGIONAL DETENTION CENTER,SAN LUIS,AZ,SND,IGSA,5,4,62,0,31,97,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,ADELANTO ICE PROCESSING CENTER,ADELANTO,CA,LOS,CDF,936,13,1,2,0,16,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,DESERT VIEW,ADELANTO,CA,LOS,CDF,27,133,64,1,0,198,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,GOLDEN STATE ANNEX,MCFARLAND,CA,SFR,CDF,88,153,5,0,0,158,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,IMPERIAL REGIONAL DETENTION FACILITY,CALEXICO,CA,SND,CDF,42,56,486,0,0,542,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,MESA VERDE ICE PROCESSING CENTER,BAKERSFIELD,CA,SFR,CDF,138,49,0,0,0,49,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,OTAY MESA DETENTION CENTER (SAN DIEGO CDF),SAN DIEGO,CA,SND,CDF,62,169,608,17,181,975,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,DENVER CONTRACT DETENTION FACILITY,AURORA,CO,DEN,CDF,33,190,439,11,51,691,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,BAKER COUNTY SHERIFF'S OFFICE,MACCLENNY,FL,MIA,IGSA,48,132,37,12,6,187,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,BROWARD TRANSITIONAL CENTER,POMPANO BEACH,FL,MIA,CDF,45,129,307,8,73,517,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,COLLIER COUNTY NAPLES JAIL CENTER,NAPLES,FL,MIA,IGSA,3,5,3,0,0,8,ORSA,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,KROME NORTH SERVICE PROCESSING CENTER,MIAMI,FL,MIA,SPC,44,356,155,0,0,511,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,ORANGE COUNTY JAIL,ORLANDO,FL,MIA,USMS IGA,2,1,1,0,0,2,ORSA,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,PINELLAS COUNTY JAIL,CLEARWATER,FL,MIA,USMS IGA,2,2,1,0,0,3,ORSA,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,ANNEX - FOLKSTON IPC,FOLKSTON,GA,ATL,DIGSA,25,57,76,0,0,133,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,FOLKSTON MAIN IPC,FOLKSTON,GA,ATL,DIGSA,20,99,286,0,0,385,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,ROBERT A. DEYTON DETENTION FACILITY,LOVEJOY,GA,ATL,USMS CDF,3,2,1,0,0,3,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,STEWART DETENTION CENTER,LUMPKIN,GA,ATL,DIGSA,48,539,540,24,121,1224,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,DEPARTMENT OF CORRECTIONS HAGATNA ,HAGATNA,GU,SFR,USMS IGA,74,6,0,0,0,6,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,HONOLULU FEDERAL DETENTION CENTER,HONOLULU,HI,SFR,BOP,23,6,2,1,2,11,,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,POLK COUNTY JAIL,DES MOINES,IA,SPM,USMS IGA,39,19,6,0,0,25,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,POTTAWATTAMIE COUNTY JAIL,COUNCIL BLUFFS,IA,SPM,USMS IGA,29,25,2,0,0,27,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,ELMORE COUNTY JAIL,MOUNTAIN HOME,ID,SLC,USMS IGA,6,3,0,0,0,3,ORSA,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,JEFFERSON COUNTY JAIL,RIGBY,ID,SLC,IGSA,4,2,0,0,0,2,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,MINICASSIA DETENTION CENTER,BURLEY,ID,SLC,IGSA,3,2,0,0,0,2,ORSA,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,CLAY COUNTY JAIL,BRAZIL,IN,CHI,USMS IGA,7,21,9,0,0,30,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,CHASE COUNTY DETENTION FACILITY,COTTONWOOD FALLS,KS,CHI,IGSA,29,49,14,3,1,67,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,BOONE COUNTY JAIL,BURLINGTON,KY,CHI,USMS IGA,30,96,25,3,1,125,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,OLDHAM COUNTY JAIL,LA GRANGE,KY,CHI,USMS IGA,2,0,0,0,0,0,ORSA,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,ALEXANDRIA STAGING FACILITY,ALEXANDRIA,LA,NOL,STAGING,3,95,113,0,0,208,,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,ALLEN PARISH PUBLIC SAFETY COMPLEX,OBERLIN,LA,NOL,IGSA,51,4,97,0,0,101,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,CENTRAL LOUISIANA ICE PROCESSING CENTER (CLIPC),JENA,LA,NOL,DIGSA,40,353,444,4,4,805,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,JACKSON PARISH CORRECTIONAL CENTER,JONESBORO,LA,NOL,DIGSA,29,12,555,0,0,567,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,PINE PRAIRIE ICE PROCESSING CENTER,PINE PRAIRIE,LA,NOL,DIGSA,54,108,250,0,0,358,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,RICHWOOD CORRECTIONAL CENTER,RICHWOOD,LA,NOL,DIGSA,34,11,201,1,247,460,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,RIVER CORRECTIONAL CENTER,FERRIDAY,LA,NOL,DIGSA,51,9,292,0,0,301,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,SOUTH LOUISIANA DETENTION CENTER,BASILE,LA,NOL,DIGSA,31,0,2,69,492,563,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,WINN CORRECTIONAL CENTER,WINNFIELD,LA,NOL,DIGSA,31,153,998,0,0,1151,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,PLYMOUTH COUNTY CORRECTIONAL FACILITY,PLYMOUTH,MA,BOS,IGSA,30,40,51,0,0,91,Regular,,,
