Fiscal Year,Source File Date,Source File,Sheet Used,Release Reason,Criminality,Month,Count,IsSheetTotal,Level,ParentReason
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Total,None,Oct,20382,False,Criminality Detail,Total
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bonded Out,Total,Oct,941,False,Reason Total,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bonded Out,Convicted Criminal,Oct,188,False,Criminality Detail,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bonded Out,Pending Criminal Charges,Oct,220,False,Criminality Detail,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bonded Out,Other Immigration Violator,Oct,533,False,Criminality Detail,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bond Set by ICE,Total,Oct,294,False,Reason Total,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bond Set by ICE,Convicted Criminal,Oct,45,False,Criminality Detail,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bond Set by ICE,Pending Criminal Charges,Oct,50,False,Criminality Detail,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bond Set by ICE,Other Immigration Violator,Oct,199,False,Criminality Detail,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bond Set by IJ,Total,Oct,647,False,Reason Total,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bond Set by IJ,Convicted Criminal,Oct,143,False,Criminality Detail,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bond Set by IJ,Pending Criminal Charges,Oct,170,False,Criminality Detail,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bond Set by IJ,Other Immigration Violator,Oct,334,False,Criminality Detail,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Order of Recognizance,Total,Oct,2920,False,Reason Total,Order of Recognizance
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Order of Recognizance,Convicted Criminal,Oct,192,False,Criminality Detail,Order of Recognizance
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Order of Recognizance,Pending Criminal Charges,Oct,233,False,Criminality Detail,Order of Recognizance
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Order of Recognizance,Other Immigration Violator,Oct,2495,False,Criminality Detail,Order of Recognizance
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Order of Supervision,Total,Oct,549,False,Reason Total,Order of Supervision
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Order of Supervision,Convicted Criminal,Oct,162,False,Criminality Detail,Order of Supervision
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Order of Supervision,Pending Criminal Charges,Oct,49,False,Criminality Detail,Order of Supervision
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Order of Supervision,Other Immigration Violator,Oct,338,False,Criminality Detail,Order of Supervision
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Paroled,Total,Oct,5626,False,Reason Total,Paroled
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Paroled,Convicted Criminal,Oct,103,False,Criminality Detail,Paroled
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Paroled,Pending Criminal Charges,Oct,93,False,Criminality Detail,Paroled
