Agency,Month,Count,Fiscal Year,Source File Date,Source File
CBP,Oct,15031,FY25,2024-11-21,FY25_detentionStats11212024.xlsx
CBP,Nov,736,FY25,2024-11-21,FY25_detentionStats11212024.xlsx
CBP,Dec,0,FY25,2024-11-21,FY25_detentionStats11212024.xlsx
CBP,Jan,0,FY25,2024-11-21,FY25_detentionStats11212024.xlsx
CBP,Feb,0,FY25,2024-11-21,FY25_detentionStats11212024.xlsx
CBP,Mar,0,FY25,2024-11-21,FY25_detentionStats11212024.xlsx
CBP,Apr,0,FY25,2024-11-21,FY25_detentionStats11212024.xlsx
CBP,May,0,FY25,2024-11-21,FY25_detentionStats11212024.xlsx
CBP,Jun,0,FY25,2024-11-21,FY25_detentionStats11212024.xlsx
CBP,Jul,0,FY25,2024-11-21,FY25_detentionStats11212024.xlsx
CBP,Aug,0,FY25,2024-11-21,FY25_detentionStats11212024.xlsx
CBP,Sep,0,FY25,2024-11-21,FY25_detentionStats11212024.xlsx
ICE,Oct,8607,FY25,2024-11-21,FY25_detentionStats11212024.xlsx
ICE,Nov,426,FY25,2024-11-21,FY25_detentionStats11212024.xlsx
ICE,Dec,0,FY25,2024-11-21,FY25_detentionStats11212024.xlsx
ICE,Jan,0,FY25,2024-11-21,FY25_detentionStats11212024.xlsx
ICE,Feb,0,FY25,2024-11-21,FY25_detentionStats11212024.xlsx
ICE,Mar,0,FY25,2024-11-21,FY25_detentionStats11212024.xlsx
ICE,Apr,0,FY25,2024-11-21,FY25_detentionStats11212024.xlsx
ICE,May,0,FY25,2024-11-21,FY25_detentionStats11212024.xlsx
ICE,Jun,0,FY25,2024-11-21,FY25_detentionStats11212024.xlsx
ICE,Jul,0,FY25,2024-11-21,FY25_detentionStats11212024.xlsx
ICE,Aug,0,FY25,2024-11-21,FY25_detentionStats11212024.xlsx
ICE,Sep,0,FY25,2024-11-21,FY25_detentionStats11212024.xlsx
CBP,Oct,15010,FY25,2024-12-18,FY25_detentionStats12182024.xlsx
CBP,Nov,13572,FY25,2024-12-18,FY25_detentionStats12182024.xlsx
CBP,Dec,6410,FY25,2024-12-18,FY25_detentionStats12182024.xlsx
CBP,Jan,0,FY25,2024-12-18,FY25_detentionStats12182024.xlsx
CBP,Feb,0,FY25,2024-12-18,FY25_detentionStats12182024.xlsx
CBP,Mar,0,FY25,2024-12-18,FY25_detentionStats12182024.xlsx
CBP,Apr,0,FY25,2024-12-18,FY25_detentionStats12182024.xlsx
CBP,May,0,FY25,2024-12-18,FY25_detentionStats12182024.xlsx
CBP,Jun,0,FY25,2024-12-18,FY25_detentionStats12182024.xlsx
CBP,Jul,0,FY25,2024-12-18,FY25_detentionStats12182024.xlsx
CBP,Aug,0,FY25,2024-12-18,FY25_detentionStats12182024.xlsx
CBP,Sep,0,FY25,2024-12-18,FY25_detentionStats12182024.xlsx
ICE,Oct,8614,FY25,2024-12-18,FY25_detentionStats12182024.xlsx
ICE,Nov,7559,FY25,2024-12-18,FY25_detentionStats12182024.xlsx
ICE,Dec,3888,FY25,2024-12-18,FY25_detentionStats12182024.xlsx
