Agency,Date,Fiscal Year,Monthly Arrests
CBP,2023-11-22,FY24,24935
ICE,2023-11-22,FY24,11142
CBP,2023-12-20,FY24,10871
ICE,2023-12-20,FY24,6335
CBP,2024-01-18,FY24,11510
ICE,2024-01-18,FY24,6435
CBP,2024-02-29,FY24,22554
ICE,2024-02-29,FY24,9855
CBP,2024-03-29,FY24,14429
ICE,2024-03-29,FY24,7337
CBP,2024-04-25,FY24,12561
ICE,2024-04-25,FY24,7305
CBP,2024-05-24,FY24,17066
ICE,2024-05-24,FY24,7820
CBP,2024-06-20,FY24,17688
ICE,2024-06-20,FY24,7299
CBP,2024-07-18,FY24,14580
ICE,2024-07-18,FY24,6901
CBP,2024-08-29,FY24,22489
ICE,2024-08-29,FY24,10886
CBP,2024-09-17,FY24,7548
ICE,2024-09-17,FY24,3586
CBP,2024-11-21,FY25,15767
ICE,2024-11-21,FY25,9033
CBP,2024-12-18,FY25,19225
ICE,2024-12-18,FY25,11028
CBP,2025-01-16,FY25,11850
ICE,2025-01-16,FY25,6359
CBP,2025-02-27,FY25,9485
ICE,2025-02-27,FY25,22228
CBP,2025-03-26,FY25,3718
ICE,2025-03-26,FY25,18349
CBP,2025-04-16,FY25,1838
ICE,2025-04-16,FY25,8596
CBP,2025-05-23,FY25,6228
ICE,2025-05-23,FY25,26318
CBP,2025-06-20,FY25,5372
ICE,2025-06-20,FY25,28903
CBP,2025-07-31,FY25,5720
ICE,2025-07-31,FY25,37557
CBP,2025-08-29,FY25,3549
ICE,2025-08-29,FY25,26219
CBP,2025-09-25,FY25,4597
ICE,2025-09-25,FY25,28242
