Technology,Count,Daily Tech Cost,IsTotalRow,RowIndex,Fiscal Year,Source File Date,Source File,Sheet Used,PerCapitaDailyCost
Technology,0,0.0,False,8,FY25,2024-12-18,FY25_detentionStats12182024.xlsx,ATD FY25 YTD,
SmartLINK,0,0.0,False,9,FY25,2024-12-18,FY25_detentionStats12182024.xlsx,ATD FY25 YTD,
Ankle Monitor,0,0.0,False,10,FY25,2024-12-18,FY25_detentionStats12182024.xlsx,ATD FY25 YTD,
Wristworn,0,0.0,False,11,FY25,2024-12-18,FY25_detentionStats12182024.xlsx,ATD FY25 YTD,
VoiceID,0,0.0,False,12,FY25,2024-12-18,FY25_detentionStats12182024.xlsx,ATD FY25 YTD,
Dual Tech,0,0.0,False,13,FY25,2024-12-18,FY25_detentionStats12182024.xlsx,ATD FY25 YTD,
No Tech,0,0.0,False,14,FY25,2024-12-18,FY25_detentionStats12182024.xlsx,ATD FY25 YTD,
Total,0,0.0,True,15,FY25,2024-12-18,FY25_detentionStats12182024.xlsx,ATD FY25 YTD,
Technology,0,0.0,False,8,FY23,2023-09-29,FY23_detentionStats09292023.xlsx,ATD FY23 YTD,
GPS,0,0.0,False,9,FY23,2023-09-29,FY23_detentionStats09292023.xlsx,ATD FY23 YTD,
SmartLINK,0,0.0,False,10,FY23,2023-09-29,FY23_detentionStats09292023.xlsx,ATD FY23 YTD,
VoiceID,0,0.0,False,11,FY23,2023-09-29,FY23_detentionStats09292023.xlsx,ATD FY23 YTD,
Veriwatch,0,0.0,False,12,FY23,2023-09-29,FY23_detentionStats09292023.xlsx,ATD FY23 YTD,
No Technology,0,0.0,False,13,FY23,2023-09-29,FY23_detentionStats09292023.xlsx,ATD FY23 YTD,
Dual Technology,0,0.0,False,14,FY23,2023-09-29,FY23_detentionStats09292023.xlsx,ATD FY23 YTD,
Total,0,0.0,True,15,FY23,2023-09-29,FY23_detentionStats09292023.xlsx,ATD FY23 YTD,
Technology,0,0.0,False,8,FY24,2024-01-18,FY24_detentionStats01182024.xlsx,ATD FY24 YTD,
SmartLINK,0,0.0,False,9,FY24,2024-01-18,FY24_detentionStats01182024.xlsx,ATD FY24 YTD,
Ankle Monitor,0,0.0,False,10,FY24,2024-01-18,FY24_detentionStats01182024.xlsx,ATD FY24 YTD,
VoiceID,0,0.0,False,11,FY24,2024-01-18,FY24_detentionStats01182024.xlsx,ATD FY24 YTD,
Dual Tech,0,0.0,False,12,FY24,2024-01-18,FY24_detentionStats01182024.xlsx,ATD FY24 YTD,
VeriWatch,0,0.0,False,13,FY24,2024-01-18,FY24_detentionStats01182024.xlsx,ATD FY24 YTD,
No Tech,0,0.0,False,14,FY24,2024-01-18,FY24_detentionStats01182024.xlsx,ATD FY24 YTD,
Total,0,0.0,True,15,FY24,2024-01-18,FY24_detentionStats01182024.xlsx,ATD FY24 YTD,
Technology,0,0.0,False,8,FY24,2024-02-29,FY24_detentionStats02292024.xlsx,ATD FY24 YTD,
SmartLINK,0,0.0,False,9,FY24,2024-02-29,FY24_detentionStats02292024.xlsx,ATD FY24 YTD,
Ankle Monitor,0,0.0,False,10,FY24,2024-02-29,FY24_detentionStats02292024.xlsx,ATD FY24 YTD,
VoiceID,0,0.0,False,11,FY24,2024-02-29,FY24_detentionStats02292024.xlsx,ATD FY24 YTD,
Dual Tech,0,0.0,False,12,FY24,2024-02-29,FY24_detentionStats02292024.xlsx,ATD FY24 YTD,
Wristworn,0,0.0,False,13,FY24,2024-02-29,FY24_detentionStats02292024.xlsx,ATD FY24 YTD,
No Tech,0,0.0,False,14,FY24,2024-02-29,FY24_detentionStats02292024.xlsx,ATD FY24 YTD,
Total,0,0.0,True,15,FY24,2024-02-29,FY24_detentionStats02292024.xlsx,ATD FY24 YTD,
Technology,0,0.0,False,8,FY24,2024-03-29,FY24_detentionStats03292024.xlsx,ATD FY24 YTD,
SmartLINK,0,0.0,False,9,FY24,2024-03-29,FY24_detentionStats03292024.xlsx,ATD FY24 YTD,
Ankle Monitor,0,0.0,False,10,FY24,2024-03-29,FY24_detentionStats03292024.xlsx,ATD FY24 YTD,
VoiceID,0,0.0,False,11,FY24,2024-03-29,FY24_detentionStats03292024.xlsx,ATD FY24 YTD,
Dual Tech,0,0.0,False,12,FY24,2024-03-29,FY24_detentionStats03292024.xlsx,ATD FY24 YTD,
Wristworn,0,0.0,False,13,FY24,2024-03-29,FY24_detentionStats03292024.xlsx,ATD FY24 YTD,
No Tech,0,0.0,False,14,FY24,2024-03-29,FY24_detentionStats03292024.xlsx,ATD FY24 YTD,
Total,0,0.0,True,15,FY24,2024-03-29,FY24_detentionStats03292024.xlsx,ATD FY24 YTD,
Technology,0,0.0,False,8,FY24,2024-04-25,FY24_detentionStats04252024.xlsx,ATD FY24 YTD,
SmartLINK,0,0.0,False,9,FY24,2024-04-25,FY24_detentionStats04252024.xlsx,ATD FY24 YTD,
Ankle Monitor,0,0.0,False,10,FY24,2024-04-25,FY24_detentionStats04252024.xlsx,ATD FY24 YTD,
VoiceID,0,0.0,False,11,FY24,2024-04-25,FY24_detentionStats04252024.xlsx,ATD FY24 YTD,
Dual Tech,0,0.0,False,12,FY24,2024-04-25,FY24_detentionStats04252024.xlsx,ATD FY24 YTD,
Wristworn,0,0.0,False,13,FY24,2024-04-25,FY24_detentionStats04252024.xlsx,ATD FY24 YTD,
No Tech,0,0.0,False,14,FY24,2024-04-25,FY24_detentionStats04252024.xlsx,ATD FY24 YTD,
Total,0,0.0,True,15,FY24,2024-04-25,FY24_detentionStats04252024.xlsx,ATD FY24 YTD,
Technology,0,0.0,False,8,FY24,2024-05-24,FY24_detentionStats05242024.xlsx,ATD FY24 YTD,
SmartLINK,0,0.0,False,9,FY24,2024-05-24,FY24_detentionStats05242024.xlsx,ATD FY24 YTD,
Ankle Monitor,0,0.0,False,10,FY24,2024-05-24,FY24_detentionStats05242024.xlsx,ATD FY24 YTD,
VoiceID,0,0.0,False,11,FY24,2024-05-24,FY24_detentionStats05242024.xlsx,ATD FY24 YTD,
Wristworn,0,0.0,False,12,FY24,2024-05-24,FY24_detentionStats05242024.xlsx,ATD FY24 YTD,
Dual Tech,0,0.0,False,13,FY24,2024-05-24,FY24_detentionStats05242024.xlsx,ATD FY24 YTD,
No Tech,0,0.0,False,14,FY24,2024-05-24,FY24_detentionStats05242024.xlsx,ATD FY24 YTD,
Total,0,0.0,True,15,FY24,2024-05-24,FY24_detentionStats05242024.xlsx,ATD FY24 YTD,
Technology,0,0.0,False,8,FY24,2024-06-20,FY24_detentionStats06202024.xlsx,ATD FY24 YTD,
SmartLINK,0,0.0,False,9,FY24,2024-06-20,FY24_detentionStats06202024.xlsx,ATD FY24 YTD,
Ankle Monitor,0,0.0,False,10,FY24,2024-06-20,FY24_detentionStats06202024.xlsx,ATD FY24 YTD,
Wristworn,0,0.0,False,11,FY24,2024-06-20,FY24_detentionStats06202024.xlsx,ATD FY24 YTD,
VoiceID,0,0.0,False,12,FY24,2024-06-20,FY24_detentionStats06202024.xlsx,ATD FY24 YTD,
Dual Tech,0,0.0,False,13,FY24,2024-06-20,FY24_detentionStats06202024.xlsx,ATD FY24 YTD,
No Tech,0,0.0,False,14,FY24,2024-06-20,FY24_detentionStats06202024.xlsx,ATD FY24 YTD,
Total,0,0.0,True,15,FY24,2024-06-20,FY24_detentionStats06202024.xlsx,ATD FY24 YTD,
Technology,0,0.0,False,8,FY24,2024-07-18,FY24_detentionStats07182024.xlsx,ATD FY24 YTD,
SmartLINK,0,0.0,False,9,FY24,2024-07-18,FY24_detentionStats07182024.xlsx,ATD FY24 YTD,
Ankle Monitor,0,0.0,False,10,FY24,2024-07-18,FY24_detentionStats07182024.xlsx,ATD FY24 YTD,
Wristworn,0,0.0,False,11,FY24,2024-07-18,FY24_detentionStats07182024.xlsx,ATD FY24 YTD,
VoiceID,0,0.0,False,12,FY24,2024-07-18,FY24_detentionStats07182024.xlsx,ATD FY24 YTD,
Dual Tech,0,0.0,False,13,FY24,2024-07-18,FY24_detentionStats07182024.xlsx,ATD FY24 YTD,
No Tech,0,0.0,False,14,FY24,2024-07-18,FY24_detentionStats07182024.xlsx,ATD FY24 YTD,
Total,0,0.0,True,15,FY24,2024-07-18,FY24_detentionStats07182024.xlsx,ATD FY24 YTD,
Technology,0,0.0,False,8,FY24,2024-08-29,FY24_detentionStats08292024.xlsx,ATD FY24 YTD,
SmartLINK,0,0.0,False,9,FY24,2024-08-29,FY24_detentionStats08292024.xlsx,ATD FY24 YTD,
Ankle Monitor,0,0.0,False,10,FY24,2024-08-29,FY24_detentionStats08292024.xlsx,ATD FY24 YTD,
Wristworn,0,0.0,False,11,FY24,2024-08-29,FY24_detentionStats08292024.xlsx,ATD FY24 YTD,
VoiceID,0,0.0,False,12,FY24,2024-08-29,FY24_detentionStats08292024.xlsx,ATD FY24 YTD,
Dual Tech,0,0.0,False,13,FY24,2024-08-29,FY24_detentionStats08292024.xlsx,ATD FY24 YTD,
No Tech,0,0.0,False,14,FY24,2024-08-29,FY24_detentionStats08292024.xlsx,ATD FY24 YTD,
Total,0,0.0,True,15,FY24,2024-08-29,FY24_detentionStats08292024.xlsx,ATD FY24 YTD,
Technology,0,0.0,False,8,FY24,2024-09-17,FY24_detentionStats09172024.xlsx,ATD FY24 YTD,
SmartLINK,0,0.0,False,9,FY24,2024-09-17,FY24_detentionStats09172024.xlsx,ATD FY24 YTD,
