Technology,Count_FY24,Count_FY25,DailyTechCost_FY24,DailyTechCost_FY25,PerCapita_FY24,PerCapita_FY25,ΔCount,ΔDailyTechCost,ΔPerCapita,%Δ Count,%Δ DailyTechCost,%Δ PerCapita
Ankle Monitor,0,0,0.0,0.0,nan,nan,0,0.0,nan,,,
Dual Tech,0,0,0.0,0.0,nan,nan,0,0.0,nan,,,
Dual Technology,,,,,,,,,,,,
GPS,,,,,,,,,,,,
No Tech,0,0,0.0,0.0,nan,nan,0,0.0,nan,,,
No Technology,,,,,,,,,,,,
SmartLINK,0,0,0.0,0.0,nan,nan,0,0.0,nan,,,
Technology,0,0,0.0,0.0,nan,nan,0,0.0,nan,,,
Veriwatch,,,,,,,,,,,,
VoiceID,0,0,0.0,0.0,nan,nan,0,0.0,nan,,,
Wristworn,0,0,0.0,0.0,nan,nan,0,0.0,nan,,,
